retrieved csv successfully!
Size of the data list: 125748
max_out_degree: 499
max_in_degree: 499
key: 8267, value_count: 1
key: 12595, value_count: 1
key: 118102, value_count: 1
key: 25824, value_count: 1
key: 98470, value_count: 1
key: 118111, value_count: 1
key: 67738, value_count: 1
key: 121262, value_count: 1
key: 70856, value_count: 1
key: 123815, value_count: 1
key: 109864, value_count: 1
key: 80105, value_count: 1
key: 97698, value_count: 1
key: 31356, value_count: 1
key: 109216, value_count: 1
key: 97920, value_count: 1
key: 71929, value_count: 1
key: 17856, value_count: 1
key: 20614, value_count: 1
key: 34716, value_count: 1
key: 52516, value_count: 1
key: 51880, value_count: 1
key: 51993, value_count: 1
key: 79680, value_count: 1
key: 113419, value_count: 1
key: 115775, value_count: 1
key: 64348, value_count: 1
key: 42800, value_count: 1
key: 91288, value_count: 1
key: 91700, value_count: 1
key: 114432, value_count: 1
key: 11351, value_count: 1
key: 83985, value_count: 1
key: 4330, value_count: 1
key: 12105, value_count: 1
key: 61509, value_count: 1
key: 109364, value_count: 1
key: 71144, value_count: 1
key: 90198, value_count: 1
key: 35861, value_count: 1
key: 34072, value_count: 1
key: 93942, value_count: 1
key: 92076, value_count: 1
key: 100398, value_count: 1
key: 49564, value_count: 1
key: 122381, value_count: 1
key: 58387, value_count: 1
key: 32464, value_count: 1
key: 105756, value_count: 1
key: 107116, value_count: 1
key: 30017, value_count: 1
key: 118883, value_count: 1
key: 21989, value_count: 1
key: 4871, value_count: 1
key: 52380, value_count: 1
key: 76568, value_count: 1
key: 30734, value_count: 1
key: 94421, value_count: 1
key: 88774, value_count: 1
key: 56160, value_count: 1
key: 20258, value_count: 1
key: 70761, value_count: 1
key: 112876, value_count: 1
key: 6065, value_count: 1
key: 19194, value_count: 1
key: 31747, value_count: 1
key: 107524, value_count: 1
key: 107738, value_count: 1
key: 4812, value_count: 1
key: 6987, value_count: 1
key: 72021, value_count: 1
key: 76546, value_count: 1
key: 45561, value_count: 1
key: 61846, value_count: 1
key: 106222, value_count: 1
key: 121934, value_count: 1
key: 102288, value_count: 1
key: 27040, value_count: 1
key: 117563, value_count: 1
key: 81651, value_count: 1
key: 68647, value_count: 1
key: 78547, value_count: 1
key: 77318, value_count: 1
key: 84076, value_count: 1
key: 110482, value_count: 1
key: 78290, value_count: 1
key: 23854, value_count: 1
key: 92208, value_count: 1
key: 53091, value_count: 1
key: 13367, value_count: 1
key: 77725, value_count: 1
key: 52851, value_count: 1
key: 37228, value_count: 1
key: 14068, value_count: 1
key: 61226, value_count: 1
key: 98830, value_count: 1
key: 114073, value_count: 1
key: 41137, value_count: 1
key: 55889, value_count: 1
key: 25102, value_count: 1
key: 36667, value_count: 1
key: 15490, value_count: 1
key: 108036, value_count: 1
key: 120868, value_count: 1
key: 113355, value_count: 1
key: 38295, value_count: 1
key: 97103, value_count: 1
key: 10328, value_count: 1
key: 65680, value_count: 1
key: 30370, value_count: 1
key: 11628, value_count: 1
key: 19885, value_count: 1
key: 39271, value_count: 1
key: 30831, value_count: 1
key: 110591, value_count: 1
key: 106899, value_count: 1
key: 27482, value_count: 1
key: 56001, value_count: 1
key: 81720, value_count: 1
key: 19861, value_count: 1
key: 62896, value_count: 1
key: 118683, value_count: 1
key: 9059, value_count: 1
key: 9876, value_count: 1
key: 120355, value_count: 1
key: 2169, value_count: 1
key: 5089, value_count: 1
key: 13255, value_count: 1
key: 1460, value_count: 1
key: 24445, value_count: 1
key: 47196, value_count: 1
key: 107286, value_count: 1
key: 77079, value_count: 1
key: 54023, value_count: 1
key: 75424, value_count: 1
key: 64719, value_count: 1
key: 65711, value_count: 1
key: 96062, value_count: 1
key: 122834, value_count: 1
key: 20471, value_count: 1
key: 106065, value_count: 1
key: 35001, value_count: 1
key: 53849, value_count: 1
key: 50048, value_count: 1
key: 85660, value_count: 1
key: 98124, value_count: 1
key: 119125, value_count: 1
key: 47619, value_count: 1
key: 50449, value_count: 1
key: 87542, value_count: 1
key: 104994, value_count: 1
key: 105708, value_count: 1
key: 49917, value_count: 1
key: 116518, value_count: 1
key: 122183, value_count: 1
key: 24645, value_count: 1
key: 25821, value_count: 1
key: 26578, value_count: 1
key: 77010, value_count: 1
key: 93450, value_count: 1
key: 109555, value_count: 1
key: 113892, value_count: 1
key: 81125, value_count: 1
key: 101699, value_count: 1
key: 58303, value_count: 1
key: 102489, value_count: 1
key: 25861, value_count: 1
key: 121299, value_count: 1
key: 40067, value_count: 1
key: 6791, value_count: 1
key: 6592, value_count: 1
key: 14820, value_count: 1
key: 114843, value_count: 1
key: 94911, value_count: 1
key: 121371, value_count: 1
key: 45204, value_count: 1
key: 87582, value_count: 1
key: 99084, value_count: 1
key: 2869, value_count: 1
key: 97905, value_count: 1
key: 25374, value_count: 1
key: 53877, value_count: 1
key: 109347, value_count: 1
key: 81676, value_count: 1
key: 18799, value_count: 1
key: 50107, value_count: 1
key: 75656, value_count: 1
key: 12044, value_count: 1
key: 8240, value_count: 1
key: 124351, value_count: 1
key: 112476, value_count: 1
key: 97380, value_count: 1
key: 7515, value_count: 1
key: 7938, value_count: 1
key: 58804, value_count: 1
key: 25978, value_count: 1
key: 10846, value_count: 1
key: 75341, value_count: 1
key: 65748, value_count: 1
key: 61233, value_count: 1
key: 84432, value_count: 1
key: 34517, value_count: 1
key: 15428, value_count: 1
key: 39358, value_count: 1
key: 66924, value_count: 1
key: 49186, value_count: 1
key: 33123, value_count: 1
key: 120343, value_count: 1
key: 109539, value_count: 1
key: 69930, value_count: 1
key: 121172, value_count: 1
key: 124096, value_count: 1
